Category;Title;Ingredients
entree;Oeufs à la coque;
entree;Oeufs mollets de ma grand-mère;sel, oeuf, oeuf, pain de campagne, beurre demi-sel
entree;Soupe à l'oignon;poivre, sel, comté, pain de mie, farine, huile, beurre, oignon, vin blanc, eau
entree;Artichaut nature (au micro-onde);artichaut
entree;soupe de pois cassés;feuille de laurier, persil, oignon, carotte, pois cassés, ail, céleri, lait
entree;Rouleaux de printemps simplifiés;vermicelles de riz, galette de riz, blanc de poulet, sauce soja, germes de soja, salade, menthe, crevettes, sauce pour nem
entree;Sushi californien (maki inversé);sel, vinaigre de riz, sucre en poudre, sésame, avocat, concombre, crabe, feuille de nori, riz rond, wasabi, sauce soja
entree;Oeufs mimosa;huile, moutarde, persil, oeuf, mayonnaise, laitue, olives noires, jaune d'oeuf, jus de citron, sel, poivre
entree;Soufflé au fromage;muscade, farine, beurre, emmental, oeuf, lait
entree;Tarte à l'oignon rapide;crème fraîche, sel, poivre, oignon, pâte brisée, oeuf
entree;Oeufs cocottes;gruyère râpé, sel, poivre, crème fraîche, oeuf, jambon
entree;Velouté de butternut à la cannelle;crème fraîche, oignon, butternut, cube de bouillon, cannelle
entree;Samoussa rapide au boeuf;huile de friture, huile d'olive, gingembre, curry, oignon, carotte, brick, boeuf haché, ail, sauce soja, jaune d'oeuf
entree;Velouté de chou- fleur;crème fraîche, beurre, sel, poivre, origan, chou-fleur, pomme de terre, eau, bouillon de volaille
entree;Soupe veloutée de potimarron et pommes de terre;poivre, sel, feuille de laurier, cube de bouillon, muscade, curry, crème fraîche, oignon, potimarron, pomme de terre, ail
entree;Flan de courgettes;gruyère râpé, courgette, lait, oeuf, basilic
entree;Saumon Gravlax : recette facile;poivre, aneth, sucre, sel, saumon frais
entree;Les nems de ma grand mère (recette originale);poivre, vermicelles de riz, carotte, porc, oignon blanc, champignon, germes de soja, oeuf, ail, nuoc mam, feuille de riz
entree;Noix de St Jacques à la crème;poivre, sel, curry, noix de saint-jacques, crème
entree;Comment préparer le radis noir;poivre, huile, vinaigre, fromage blanc, sel, radis
entree;Bouchées à la reine;muscade, poivre, farine, beurre, rumsteak, escalope de poulet, champignon, quenelle de veau, bouillon de volaille, jaune d'oeuf, crème fraîche épaisse, vin blanc, pâte feuilletée
entree;Oeufs en Meurette de ma Maman;sel, poivre, beurre, sucre, vin rouge, farine, oignon, oeuf, lard, champignons de Paris, ail, bouquet garni, vieille
entree;soupe au choux;poivre, gros sel, lardons, clou de girofle, oignon, chou
