Category;Title;Ingredients
viande;Blanquette de veau : recette traditionnelle;poivre, sel, farine, crème fraîche, oignon jaune, carotte, blanquette de veau, cube de bouillon, bouillon de poule, champignon, citron, jaune d'oeuf, vin blanc
viande;Poulet au four simple et savoureux;poivre, sel, feuille de laurier, tomates cerise, oignon, poulet, ail, jus de citron, bouillon de volaille
viande;Boeuf bourguignon : la vraie recette;poivre, sel, beurre, vin rouge, carotte, oignon, bourguignon, bouquet garni
viande;Rôti de boeuf au four tout simple;thym, sel, poivre, huile d'olive, rôti de boeuf, ail, eau
viande;Filet mignon de porc à la moutarde;beurre, huile d'olive, moutarde, crème fraîche, filet mignon, vin blanc sec, bouillon de légumes, champignon
viande;Cuisses de poulet au four;huile d'olive, clou de girofle, feuille de laurier, thym, oignon, cuisse de poulet, eau, ail, bouillon de volaille, genièvre
viande;Rôti de porc tout simple;huile d'olive, sel, poivre, beurre, rôti de porc, ail, eau
viande;Gigot d'agneau : la recette traditionnelle;gros sel, romarin, gigot d'agneau, ail, graisse d'oie, ail
viande;Paupiettes de veau;vinaigre balsamique, moutarde de Dijon, fond de veau, huile d'olive, paupiette de veau, ail, vin blanc, eau
viande;Osso bucco de veau;sel, poivre, farine, oignon, carotte, tomates concassées, huile, jarret de veau, ail, vin blanc sec, bouquet garni
viande;Falafel (croquettes de pois chiches);huile de friture, sel, coriandre, cumin en poudre, farine, persil, oignon, pois chiches, fèves, ail, paprika, basilic frais
viande;Poulet basquaise;poivre, sel, huile d'olive, oignon, poivron, tomate, poulet, ail, vin blanc, bouquet garni
viande;Rôti de veau au four;poivre, sel, huile de tournesol, rôti de veau, ail, champignons de Paris
viande;Souris d'agneau au miel et thym;sel, poivre, miel, huile d'olive, thym, souris d'agneau, ail
viande;Sauté de porc à la crème de moutarde;farine, moutarde, huile d'olive, beurre, carotte, oignon, sauté de porc, vin blanc, eau, crème fraîche épaisse
viande;La côte de bœuf au four facile et cuite à la perfection;côte de boeuf, huile, fleur de sel, poivre, thym
viande;Poulet rôti et ses pommes de terre;poivre, sel, beurre, poulet, herbes de Provence, pomme de terre
viande;Rosbeef au four à l'ail;sel, poivre, beurre tendre, Rosbif, ail
viande;Rôti de porc : recette savoureuse;oignon, sel, poivre, miel, moutarde de Dijon, rôti de porc, ail, bouillon de volaille
viande;Filet mignon de porc rôti à la moutarde à l'ancienne;poivre, sel, thym, huile d'olive, beurre, moutarde à l'ancienne, filet mignon, pomme de terre, laurier
viande;Epaule d'agneau confite facile;romarin, thym, poivre, fleur de sel, huile d'olive, harissa, épaule d'agneau, échalote, ail
viande;Lentilles corail au curry;coriandre, sel, poivre, curry, piment, huile, oignon, tomate, lentilles corail, ail, Riz, céréales
viande;poulet au coco et curry;oignon jaune, curry, gingembre, escalope de poulet, lait de coco, champignons de Paris
viande;Poulet curry et oignons facile;sel, poivre, piment, cumin, curry, oignon jaune, blanc de poulet, crème fraîche allégée
viande;Rouelle de porc à l'ancienne;fond de veau, huile d'olive, porc, pomme de terre
viande;Joue de porc à la bière;sel, poivre, bière, miel, lardons, oignon, huile, beurre, joue de porc
viande;Colombo de poulet;coriandre, vinaigre, échalote, ail, épices à colombo, sel, poivre, piment de Cayenne, persil, thym, courgette, aubergine, oignon, cuisse de poulet, ail, pomme de terre, épices à colombo, jus de citron, lait de coco
viande;Joue de boeuf à la bourguignonne;vin rouge, huile d'olive, maïzena, clou de girofle, carotte, oignon, lardons, joue, champignons de Paris, bouquet garni, bouillon, ail
viande;Andouillette sauce moutarde;moutarde, andouillette, crème, échalote
viande;Magret de canard au four;gros sel, Magret de Canard, poivre en grains
viande;Lapin à la moutarde maison;carotte, sucre, sel, poivre, persil, thym, feuille de laurier, huile d'olive, crème fraîche, moutarde de Dijon, lapin, vin blanc sec, ail, échalote
